date/time,orange y  position,blue y position,goal y position,valid angle?,"left, right, or center?",out of position?
Dec 17 2019 12:49 PM ,242.000000,740.000000,541.000000,y,center,n
Dec 17 2019 12:50 PM ,242.000000,586.000000,541.000000,y,left,n
Dec 17 2019 12:50 PM ,241.000000,588.000000,541.000000,y,left,n
Dec 17 2019 12:50 PM ,242.000000,928.000000,313.000000,y,left,n
Dec 17 2019 12:50 PM ,768.000000,926.000000,311.000000,y,center,n
Dec 17 2019 12:51 PM ,434.000000,926.000000,311.000000,y,right,n
Dec 17 2019 12:51 PM ,435.000000,926.000000,315.000000,y,right,n
Dec 17 2019 12:52 PM ,898.000000,0.000000,867.000000,y,right,y
Dec 17 2019 12:52 PM ,910.000000,926.000000,867.000000,y,right,n
Dec 17 2019 12:52 PM ,910.000000,926.000000,867.000000,y,right,n
Dec 17 2019 12:52 PM ,910.000000,926.000000,802.000000,y,right,n
Dec 17 2019 12:52 PM ,909.000000,440.000000,799.000000,y,center,n
Dec 17 2019 12:53 PM ,614.000000,440.000000,627.000000,y,left,n
Dec 17 2019 12:53 PM ,342.000000,866.000000,193.000000,y,left,n
Dec 17 2019 12:54 PM ,341.000000,697.000000,193.000000,n,center,n
Dec 17 2019 12:54 PM ,342.000000,698.000000,193.000000,n,center,n
Dec 17 2019 12:57 PM ,183.000000,478.000000,413.000000,y,left,n
Dec 17 2019 12:57 PM ,183.000000,475.000000,413.000000,y,left,n
Dec 17 2019 12:57 PM ,183.000000,476.000000,413.000000,y,left,n
Dec 17 2019 12:58 PM ,182.000000,476.000000,409.000000,y,left,n
Dec 17 2019 12:58 PM ,183.000000,476.000000,411.000000,y,left,n
Dec 17 2019 12:58 PM ,182.000000,475.000000,411.000000,y,left,n
Dec 17 2019 12:59 PM ,182.000000,482.000000,413.000000,y,left,n
Dec 17 2019 01:01 PM ,181.000000,482.000000,411.000000,y,left,n
Dec 17 2019 01:01 PM ,424.000000,438.000000,317.000000,y,left,y
Dec 17 2019 01:02 PM ,423.000000,437.000000,315.000000,y,left,y
Dec 17 2019 01:02 PM ,423.000000,439.000000,321.000000,y,left,n
